,Bedroom Info,Bathroom Info,Rooms Info,Interior Info,Exterior Info,Property Info,Laundry Info,Fireplace Info,Flooring Info,Kitchen+Dining Info,Living Room Info
12055,[],[],[],[],[],"['fireplace', 'fireplace', 'pantry', 'walk', 'vaulted', 'walk', 'wood']",[],[],[],['deck'],[]
12056,[],[],"['patio', 'deck', 'patio']",['fireplace'],['carpet'],['walk'],[],[],[],[],[]
12057,[],[],['patio'],[],[],"['pantry', 'vaulted', 'dryer', 'washer', 'laminate']",[],[],[],[],[]
12058,['vaulted'],[],[],['fireplace'],[],"['carpet', 'walk']","['bar', 'island', 'pantry']",[],[],[],['office']
12060,[],[],"['patio', 'patio']",[],['carpet'],"['wood', 'walk']",[],[],[],[],[]
12061,"['quartz', 'quartz']",[],"['patio', 'deck', 'patio']",[],[],"['ceiling fan', 'walk', 'vaulted', 'fireplace', 'fireplace', 'wood', 'carpet']","['quartz', 'pantry']",[],[],[],[]
12062,[],['ceiling fan'],[],[],['wood'],"['washer', 'dryer']",[],[],[],[],[]
12063,[],[],[],['fireplace'],[],['deck'],[],[],[],['patio'],[]
12064,[],[],[],[],[],"['laminate', 'carpet']",[],[],[],[],[]
12065,[],[],[],[],[],[],[],[],[],[],[]
12066,[],[],[],[],[],[],[],[],[],[],[]
12067,[],[],"['patio', 'patio']",[],"['carpet', 'laminate', 'wood']","['dryer', 'washer']",[],[],[],[],[]
12068,[],[],[],[],[],[],[],[],[],"['deck', 'granite', 'ceiling fan', 'dryer', 'washer']",[]
12069,[],[],[],[],[],[],[],[],[],[],[]
12070,[],['carpet'],[],"['fireplace', 'wood']",[],"['vaulted', 'hot tub', 'bar']","['island', 'pantry', 'walk']","['wood', 'laminate']",['carpet'],[],[]
12071,[],"['walk', 'ceiling fan']",['deck'],[],['wood'],"['washer', 'dryer', 'island']",[],[],[],[],[]
12072,[],[],['deck'],[],[],"['washer', 'dryer']",[],[],[],[],[]
12073,[],[],"['pool', 'pool']",['fireplace'],[],"['high ceiling', 'granite', 'carpet', 'laminate', 'wood']",[],"['dryer', 'dryer', 'washer']",[],[],[]
12074,[],[],[],[],[],[],[],[],[],[],[]
12075,[],[],"['patio', 'patio', 'spa', 'pool']",[],[],"['ceiling fan', 'dryer', 'dryer', 'fireplace', 'fireplace', 'carpet', 'wood', 'laminate', 'marble', 'washer', 'washer', 'dryer']",[],[],[],[],[]
12076,[],[],['wood'],[],[],"['fireplace', 'wood', 'laminate']",[],[],[],[],[]
12077,[],[],"['deck', 'patio']",[],[],[],[],[],[],[],[]
12078,[],[],[],[],[],[],[],[],[],[],[]
12079,[],[],[],[],[],[],['bar'],[],['carpet'],[],[]
12080,[],[],[],[],[],[],[],[],[],[],[]
12081,[],[],"['patio', 'deck']",[],[],[],[],[],[],[],['deck']
12082,[],[],['pool'],[],['carpet'],['bar'],[],[],[],['pool'],[]
12084,[],[],[],[],[],[],[],[],[],[],[]
12085,[],[],['pool'],['fireplace'],[],"['dryer', 'washer', 'carpet', 'carpet', 'island', 'pantry', 'walk', 'wood']",[],[],[],[],[]
12086,[],[],[],[],[],"['fireplace', 'wood']",[],[],[],[],[]
12087,[],[],[],[],[],[],[],[],[],[],[]
12088,[],[],['pool'],[],[],[],[],[],[],[],[]
12089,[],[],[],[],[],[],[],[],[],[],[]
12090,[],[],"['deck', 'patio', 'wood']",[],[],[],[],[],[],[],"['island', 'pantry']"
12091,[],[],[],[],[],"['dryer', 'washer', 'carpet', 'island', 'pantry']",[],[],[],[],[]
12092,[],[],['patio'],[],[],"['fireplace', 'ceiling fan', 'dryer', 'pantry', 'washer', 'carpet']",[],[],[],[],[]
12093,[],[],['pool'],[],[],"['wood', 'dryer', 'washer']",[],[],[],[],[]
12095,[],[],[],['fireplace'],[],"['walk', 'bar']","['island', 'pantry', 'pantry', 'walk']",[],[],[],['office']
